ID,Tissue,Region,Developmental_Stage,FirstAuthor,Year_Published,Number of cells (before filtering),Number of cells (rounding),Sequencing technique,Number of donors,Number of female donors,Number of male donors,PMID,Title,Link,Species,Access date,Additional notes
17,Brain,Mostly cortex and ganglionic eminences,"2nd trimester, 3rd trimester, 0-1 years, 1-2 years, 2-4 years, 4-10 years, 10-20 years, and Adult",Velmeshev,2023,"413,682 (before filteirng)
358,663 (after filtering)
709,372 (after integrating)",~350k & ~700k (after integration),"10x 3' v2, 10x 3' v3,  and 10x multiome","2nd trimester: 30
3rd trimester: 13
0-1 year: 11
1-2 year: 6
2-4 year: 8
4-10 year: 8
10-20 year: 15
Adult: 13","2nd trimester: 11F
3rd trimester: 8F
0-1 year: 5F
1-2 year: 2F
2-4 year: 4F
4-10 year: 1F
10-20 year: 7F
Adult: 7F","2nd trimester: 19M
3rd trimester: 5M
0-1 year: 6M
1-2 year: 4M
2-4 year: 4M
4-10 year: 7M
10-20 year: 8M
Adult: 6M",37824647,Single-cell analysis of prenatal and postnatal human cortical development,https://pubmed.ncbi.nlm.nih.gov/37824647/,Human,12/19/2023,
18,Brain,Cerebellum,"7 wpc, 8 wpc, 9 wpc, 11 wpc, 17 wpc, 20 wpc, newborn, infant, toddler, and adult",Sepp,2023,"163,283 (normal. Human)",~160k,10x 3' v2 and 10x 3' v3,27,11,16,38029793,Cellular development and evolution of the mammalian cerebellum,https://pubmed.ncbi.nlm.nih.gov/38029793/,Human,12/21/2023,
19,Brain,Caudate nucleus and putamen,Adult,Phan,2024,44449,~45k,10x 3' v3,12,6,6,38296993,Single nuclei transcriptomics in human and non-human primate striatum in opioid use disorder,https://pubmed.ncbi.nlm.nih.gov/38296993/,Human,5/30/2024,
20,Brain,Entorhinal Cortex and Ganglionic Eminence,"Fetal, Infant, Toddler, Teen, Adult",Nascimento,NA,"153,005",~150k,10x 3' v3,12,5,7,NA,NA,https://cellxgene.cziscience.com/collections/cae8bad0-39e9-4771-85a7-822b0e06de9f,Human,1/23/2024,
21,Brain,Cerebellum,Child,TorresFlores,NA,"1,346",~1k,10x 3' v3,2,2,0,NA,NA,https://cellxgene.cziscience.com/collections/10bf5c50-8d85-4c5f-94b4-22c1363d9f31,Human,1/10/2024,
22,Brain,Neocortex,"First trimester, Second trimester, Third trimester, Infancy, Adolescence",Wang,2024,"232,328",~230k,10x multiome,27,13,14,NA,Molecular and cellular dynamics of the developing human neocortex at single-cell resolution,https://www.nature.com/articles/s41586-024-08351-7,Human,2/10/2025,
23,Brain,"Cerebellum, Diencephalon, Forebrain, Head, Hindbrain, Medulla, Midbrain, Pons, Telencephalon",First trimester,Braun,2023,"1,665,937",~1.6M,"10x 3' v2', '10x 3' v3'",26,-,-,37824650,Comprehensive cell atlas of the first-trimester developing human brain,https://www.science.org/doi/10.1126/science.adf1226,Human,2/10/2025,
24,Brain,"primary visual cortex, insular cortex, Brodmann (1909) area 4",Adult,Rexach,2024,"98,794 normal",~100k,"10x 3' v2', '10x 3' v3'",10 (normal),-,-,39265576,Cross-disorder and disease-specific pathways in dementia revealed by single-cell genomics,https://www.sciencedirect.com/science/article/pii/S0092867424009103?via%3Dihub,Human,2/11/2025,
25,Brain,"Brodmann (1909) area 9, Brodmann (1909) area 7, Brodmann (1909) area 17",Adult,Dharshini,2024,"113,755 normal",~100k,"10x 3' v3', '10x 3' v2', 'Drop-seq'",15 (normal),-,-,-,Molecular Signatures of Resilience to Alzheimer’s Disease in Neocortical Layer 4 Neurons,https://www.biorxiv.org/content/10.1101/2024.11.03.621787v1,Human,2/11/2025,
26,Brain,"dorsal motor nucleus of vagus nerve, primary visual cortex, prefrontal cortex, primary motor cortex, medial globus pallidus",Adult,N.M.,2024,"445,297 normal",~500k,10x 3' v3,24 (donors without disease),-,-,39580497,A multi-region single nucleus transcriptomic atlas of Parkinson’s disease,https://www.nature.com/articles/s41597-024-04117-y,Human,2/12/2025,
